Bandstructure_0@DMoire/Moire21.hdf5

+------------------------------------------------------------------------------+
| Bandstructure Report                                                         |
| ---------------------------------------------------------------------------- |
| Fermi level = -5.087760e+00                                                  |
| Unit = eV                                                                    |
| ---------------------------------------------------------------------------- |
| Route:                                                                       |
|    Fractional       Cartesian (1/Angstrom)                                   |
| G  [0  , 0  , 0  ]  [0.0000, 0.0000, 0.0000]  x = 0.0000e+00                 |
| M  [0  , 1/2, 0  ]  [0.4812, 0.2778, 0.0000]  x = 3.6603e-01                 |
| K  [1/3, 1/3, 0  ]  [0.6416, 0.0000, 0.0000]  x = 5.7735e-01                 |
| G  [0  , 0  , 0  ]  [0.0000, 0.0000, 0.0000]  x = 1.0000e+00                 |
|                                                                              |
+------------------------------------------------------------------------------+

# Band 0
x           Energy / eV  Fractional k-point
0.0000e+00  -1.9086e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]
1.8301e-02  -1.9112e+01   [0.0000e+00, 2.5000e-02, 0.0000e+00]
3.6603e-02  -1.9169e+01   [0.0000e+00, 5.0000e-02, 0.0000e+00]
5.4904e-02  -1.9227e+01   [0.0000e+00, 7.5000e-02, 0.0000e+00]
7.3205e-02  -1.9268e+01   [0.0000e+00, 1.0000e-01, 0.0000e+00]
9.1506e-02  -1.9290e+01   [0.0000e+00, 1.2500e-01, 0.0000e+00]
1.0981e-01  -1.9297e+01   [0.0000e+00, 1.5000e-01, 0.0000e+00]
1.2811e-01  -1.9291e+01   [0.0000e+00, 1.7500e-01, 0.0000e+00]
1.4641e-01  -1.9276e+01   [0.0000e+00, 2.0000e-01, 0.0000e+00]
1.6471e-01  -1.9252e+01   [0.0000e+00, 2.2500e-01, 0.0000e+00]
1.8301e-01  -1.9221e+01   [0.0000e+00, 2.5000e-01, 0.0000e+00]
2.0131e-01  -1.9185e+01   [0.0000e+00, 2.7500e-01, 0.0000e+00]
2.1962e-01  -1.9142e+01   [0.0000e+00, 3.0000e-01, 0.0000e+00]
2.3792e-01  -1.9094e+01   [0.0000e+00, 3.2500e-01, 0.0000e+00]
